Comunidades autónomas;Tipología penal;Periodos:;Total
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-junio 2023;1.561
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-junio 2024;1.506
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;-3,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-junio 2023;299
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-junio 2024;293
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-2,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;1.262
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;1.213
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-3,9
ANDALUCÍA;6. Robos con violencia e intimidación;enero-junio 2023;3.600
ANDALUCÍA;6. Robos con violencia e intimidación;enero-junio 2024;3.738
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;3,8
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;9.681
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;9.213
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-4,8
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-junio 2023;6.532
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-junio 2024;6.347
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-2,8
ANDALUCÍA;8. Hurtos;enero-junio 2023;47.163
ANDALUCÍA;8. Hurtos;enero-junio 2024;45.725
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-3,0
ANDALUCÍA;9. Sustracciones de vehículos;enero-junio 2023;2.909
ANDALUCÍA;9. Sustracciones de vehículos;enero-junio 2024;2.964
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;1,9
ANDALUCÍA;10. Tráfico de drogas;enero-junio 2023;2.528
ANDALUCÍA;10. Tráfico de drogas;enero-junio 2024;2.300
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-9,0
ANDALUCÍA;11. Resto de criminalidad convencional;enero-junio 2023;93.625
ANDALUCÍA;11. Resto de criminalidad convencional;enero-junio 2024;94.770
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;1,2
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;36.145
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;41.455
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;14,7
ANDALUCÍA;12.-Estafas informáticas;enero-junio 2023;32.094
ANDALUCÍA;12.-Estafas informáticas;enero-junio 2024;36.202
ANDALUCÍA;12.-Estafas informáticas;Variación % 2024/2023;12,8
ANDALUCÍA;13.-Otros ciberdelitos;enero-junio 2023;4.051
ANDALUCÍA;13.-Otros ciberdelitos;enero-junio 2024;5.253
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2024/2023;29,7
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-junio 2023;199.836
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-junio 2024;204.458
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;2,3
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;18.418
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;19.947
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;8,3
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;5
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;5
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;18
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;11
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-38,9
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;302
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;397
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;31,5
ARAGÓN;4. Secuestro;enero-junio 2023;0
ARAGÓN;4. Secuestro;enero-junio 2024;0
ARAGÓN;4. Secuestro;Variación % 2024/2023;0,0
ARAGÓN;5. Delitos contra la libertad sexual;enero-junio 2023;219
ARAGÓN;5. Delitos contra la libertad sexual;enero-junio 2024;205
ARAGÓN;5. Delitos contra la libertad sexual;Variación % 2024/2023;-6,4
ARAGÓN;5.1.-Agresión sexual con penetración;enero-junio 2023;47
ARAGÓN;5.1.-Agresión sexual con penetración;enero-junio 2024;48
ARAGÓN;5.1.-Agresión sexual con penetración;Variación % 2024/2023;2,1
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;172
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;157
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-8,7
ARAGÓN;6. Robos con violencia e intimidación;enero-junio 2023;494
ARAGÓN;6. Robos con violencia e intimidación;enero-junio 2024;607
ARAGÓN;6. Robos con violencia e intimidación;Variación % 2024/2023;22,9
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;1.317
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;1.335
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;1,4
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-junio 2023;911
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-junio 2024;998
ARAGÓN;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;9,5
ARAGÓN;8. Hurtos;enero-junio 2023;4.881
ARAGÓN;8. Hurtos;enero-junio 2024;5.629
ARAGÓN;8. Hurtos;Variación % 2024/2023;15,3
ARAGÓN;9. Sustracciones de vehículos;enero-junio 2023;162
ARAGÓN;9. Sustracciones de vehículos;enero-junio 2024;161
ARAGÓN;9. Sustracciones de vehículos;Variación % 2024/2023;-0,6
ARAGÓN;10. Tráfico de drogas;enero-junio 2023;232
ARAGÓN;10. Tráfico de drogas;enero-junio 2024;219
ARAGÓN;10. Tráfico de drogas;Variación % 2024/2023;-5,6
ARAGÓN;11. Resto de criminalidad convencional;enero-junio 2023;10.788
ARAGÓN;11. Resto de criminalidad convencional;enero-junio 2024;11.378
ARAGÓN;11. Resto de criminalidad convencional;Variación % 2024/2023;5,5
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;5.708
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;6.168
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;8,1
ARAGÓN;12.-Estafas informáticas;enero-junio 2023;5.091
ARAGÓN;12.-Estafas informáticas;enero-junio 2024;5.533
ARAGÓN;12.-Estafas informáticas;Variación % 2024/2023;8,7
ARAGÓN;13.-Otros ciberdelitos;enero-junio 2023;617
ARAGÓN;13.-Otros ciberdelitos;enero-junio 2024;635
ARAGÓN;13.-Otros ciberdelitos;Variación % 2024/2023;2,9
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-junio 2023;24.126
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-junio 2024;26.115
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;8,2
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;11.915
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;12.371
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;3,8
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;3
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;3
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;8
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;9
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;12,5
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;194
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;209
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;7,7
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-junio 2023;0
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-junio 2024;2
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2024/2023;100,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-junio 2023;142
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-junio 2024;133
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2024/2023;-6,3
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-junio 2023;32
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-junio 2024;32
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;110
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;101
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-8,2
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-junio 2023;172
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-junio 2024;164
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2024/2023;-4,7
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;704
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;661
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-6,1
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-junio 2023;471
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-junio 2024;368
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-21,9
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-junio 2023;3.567
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-junio 2024;3.800
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2024/2023;6,5
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-junio 2023;132
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-junio 2024;107
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2024/2023;-18,9
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-junio 2023;99
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-junio 2024;86
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2024/2023;-13,1
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-junio 2023;6.894
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-junio 2024;7.197
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2024/2023;4,4
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;3.931
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;4.652
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;18,3
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-junio 2023;3.572
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-junio 2024;4.110
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2024/2023;15,1
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-junio 2023;359
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-junio 2024;542
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2024/2023;51,0
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-junio 2023;15.846
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-junio 2024;17.023
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;7,4
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;30.026
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;30.478
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;1,5
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;2
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;3
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;50,0
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;16
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;13
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-18,8
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;606
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;617
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;1,8
BALEARS (ILLES);4. Secuestro;enero-junio 2023;3
BALEARS (ILLES);4. Secuestro;enero-junio 2024;3
BALEARS (ILLES);4. Secuestro;Variación % 2024/2023;0,0
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-junio 2023;442
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-junio 2024;417
BALEARS (ILLES);5. Delitos contra la libertad sexual;Variación % 2024/2023;-5,7
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-junio 2023;66
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-junio 2024;67
BALEARS (ILLES);5.1.-Agresión sexual con penetración;Variación % 2024/2023;1,5
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;376
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;350
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-6,9
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-junio 2023;694
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-junio 2024;625
BALEARS (ILLES);6. Robos con violencia e intimidación;Variación % 2024/2023;-9,9
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;1.264
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;1.268
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;0,3
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-junio 2023;920
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-junio 2024;898
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-2,4
BALEARS (ILLES);8. Hurtos;enero-junio 2023;9.722
BALEARS (ILLES);8. Hurtos;enero-junio 2024;10.207
BALEARS (ILLES);8. Hurtos;Variación % 2024/2023;5,0
BALEARS (ILLES);9. Sustracciones de vehículos;enero-junio 2023;800
BALEARS (ILLES);9. Sustracciones de vehículos;enero-junio 2024;767
BALEARS (ILLES);9. Sustracciones de vehículos;Variación % 2024/2023;-4,1
BALEARS (ILLES);10. Tráfico de drogas;enero-junio 2023;294
BALEARS (ILLES);10. Tráfico de drogas;enero-junio 2024;370
BALEARS (ILLES);10. Tráfico de drogas;Variación % 2024/2023;25,9
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-junio 2023;16.183
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-junio 2024;16.188
BALEARS (ILLES);11. Resto de criminalidad convencional;Variación % 2024/2023;0,0
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;5.186
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;6.672
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;28,7
BALEARS (ILLES);12.-Estafas informáticas;enero-junio 2023;4.648
BALEARS (ILLES);12.-Estafas informáticas;enero-junio 2024;5.906
BALEARS (ILLES);12.-Estafas informáticas;Variación % 2024/2023;27,1
BALEARS (ILLES);13.-Otros ciberdelitos;enero-junio 2023;538
BALEARS (ILLES);13.-Otros ciberdelitos;enero-junio 2024;766
BALEARS (ILLES);13.-Otros ciberdelitos;Variación % 2024/2023;42,4
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-junio 2023;35.212
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-junio 2024;37.150
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,5
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;42.808
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;46.030
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;7,5
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;7
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;6
CANARIAS;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-14,3
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;22
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;21
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-4,5
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;668
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;671
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;0,4
CANARIAS;4. Secuestro;enero-junio 2023;2
CANARIAS;4. Secuestro;enero-junio 2024;0
CANARIAS;4. Secuestro;Variación % 2024/2023;-100,0
CANARIAS;5. Delitos contra la libertad sexual;enero-junio 2023;493
CANARIAS;5. Delitos contra la libertad sexual;enero-junio 2024;600
CANARIAS;5. Delitos contra la libertad sexual;Variación % 2024/2023;21,7
CANARIAS;5.1.-Agresión sexual con penetración;enero-junio 2023;94
CANARIAS;5.1.-Agresión sexual con penetración;enero-junio 2024;117
CANARIAS;5.1.-Agresión sexual con penetración;Variación % 2024/2023;24,5
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;399
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;483
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;21,1
CANARIAS;6. Robos con violencia e intimidación;enero-junio 2023;951
CANARIAS;6. Robos con violencia e intimidación;enero-junio 2024;883
CANARIAS;6. Robos con violencia e intimidación;Variación % 2024/2023;-7,2
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;1.757
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;1.607
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-8,5
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-junio 2023;1.090
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-junio 2024;977
CANARIAS;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-10,4
CANARIAS;8. Hurtos;enero-junio 2023;13.175
CANARIAS;8. Hurtos;enero-junio 2024;14.848
CANARIAS;8. Hurtos;Variación % 2024/2023;12,7
CANARIAS;9. Sustracciones de vehículos;enero-junio 2023;736
