Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;971.175
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;986.444
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;1,6
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;180
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;195
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;8,3
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;633
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;619
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-2,2
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;12.712
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;13.799
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;8,6
TOTAL NACIONAL;4. Secuestro;enero-junio 2023;64
TOTAL NACIONAL;4. Secuestro;enero-junio 2024;49
TOTAL NACIONAL;4. Secuestro;Variación % 2024/2023;-23,4
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-junio 2023;9.556
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-junio 2024;10.010
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2024/2023;4,8
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-junio 2023;2.305
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-junio 2024;2.465
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2024/2023;6,9
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;7.251
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;7.545
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;4,1
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-junio 2023;31.001
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-junio 2024;30.980
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2024/2023;-0,1
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;59.654
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;57.469
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-3,7
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-junio 2023;40.415
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-junio 2024;39.287
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-2,8
TOTAL NACIONAL;8. Hurtos;enero-junio 2023;325.034
TOTAL NACIONAL;8. Hurtos;enero-junio 2024;321.332
TOTAL NACIONAL;8. Hurtos;Variación % 2024/2023;-1,1
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-junio 2023;15.869
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-junio 2024;16.272
TOTAL NACIONAL;9. Sustracciones de vehículos;Variación % 2024/2023;2,5
TOTAL NACIONAL;10. Tráfico de drogas;enero-junio 2023;10.639
TOTAL NACIONAL;10. Tráfico de drogas;enero-junio 2024;11.009
TOTAL NACIONAL;10. Tráfico de drogas;Variación % 2024/2023;3,5
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-junio 2023;505.833
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-junio 2024;524.710
TOTAL NACIONAL;11. Resto de criminalidad convencional;Variación % 2024/2023;3,7
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;217.711
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;237.640
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;9,2
TOTAL NACIONAL;12.-Estafas informáticas;enero-junio 2023;195.581
TOTAL NACIONAL;12.-Estafas informáticas;enero-junio 2024;211.294
TOTAL NACIONAL;12.-Estafas informáticas;Variación % 2024/2023;8,0
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-junio 2023;22.130
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-junio 2024;26.346
TOTAL NACIONAL;13.-Otros ciberdelitos;Variación % 2024/2023;19,1
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-junio 2023;1.188.886
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-junio 2024;1.224.084
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;3,0
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;163.691
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;163.003
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,4
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;43
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;50
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;16,3
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;133
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;116
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-12,8
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;2.428
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;2.606
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;7,3
ANDALUCÍA;4. Secuestro;enero-junio 2023;20
ANDALUCÍA;4. Secuestro;enero-junio 2024;15
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-25,0
