Comunidades autónomas;Tipología penal;Periodos:;Total
CANARIAS;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-14,3
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;594
CANARIAS;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;473
CANARIAS;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-20,4
CANARIAS;8. Hurtos;enero-marzo 2023;7.372
CANARIAS;8. Hurtos;enero-marzo 2024;8.656
CANARIAS;8. Hurtos;Variación % 2024/2023;17,4
CANARIAS;9. Sustracciones de vehículos;enero-marzo 2023;372
CANARIAS;9. Sustracciones de vehículos;enero-marzo 2024;403
CANARIAS;9. Sustracciones de vehículos;Variación % 2024/2023;8,3
CANARIAS;10. Tráfico de drogas;enero-marzo 2023;173
CANARIAS;10. Tráfico de drogas;enero-marzo 2024;173
CANARIAS;10. Tráfico de drogas;Variación % 2024/2023;0,0
CANARIAS;11. Resto de criminalidad convencional;enero-marzo 2023;12.038
CANARIAS;11. Resto de criminalidad convencional;enero-marzo 2024;12.871
CANARIAS;11. Resto de criminalidad convencional;Variación % 2024/2023;6,9
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;3.820
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;4.593
CANARIAS;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;20,2
CANARIAS;12.-Estafas informáticas;enero-marzo 2023;3.301
CANARIAS;12.-Estafas informáticas;enero-marzo 2024;4.122
CANARIAS;12.-Estafas informáticas;Variación % 2024/2023;24,9
CANARIAS;13.-Otros ciberdelitos;enero-marzo 2023;519
CANARIAS;13.-Otros ciberdelitos;enero-marzo 2024;471
CANARIAS;13.-Otros ciberdelitos;Variación % 2024/2023;-9,2
CANARIAS;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;25.810
CANARIAS;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;28.569
CANARIAS;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;10,7
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;4.179
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;4.537
CANTABRIA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;8,6
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;0
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;3
CANTABRIA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;100,0
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;3
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;0
CANTABRIA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-100,0
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;92
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;103
CANTABRIA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;12,0
CANTABRIA;4. Secuestro;enero-marzo 2023;0
CANTABRIA;4. Secuestro;enero-marzo 2024;1
CANTABRIA;4. Secuestro;Variación % 2024/2023;100,0
CANTABRIA;5. Delitos contra la libertad sexual;enero-marzo 2023;37
CANTABRIA;5. Delitos contra la libertad sexual;enero-marzo 2024;38
CANTABRIA;5. Delitos contra la libertad sexual;Variación % 2024/2023;2,7
CANTABRIA;5.1.-Agresión sexual con penetración;enero-marzo 2023;6
CANTABRIA;5.1.-Agresión sexual con penetración;enero-marzo 2024;10
CANTABRIA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;66,7
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;31
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;28
CANTABRIA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-9,7
CANTABRIA;6. Robos con violencia e intimidación;enero-marzo 2023;61
CANTABRIA;6. Robos con violencia e intimidación;enero-marzo 2024;51
CANTABRIA;6. Robos con violencia e intimidación;Variación % 2024/2023;-16,4
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;453
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;480
CANTABRIA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;6,0
CANTABRIA;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;331
CANTABRIA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;326
CANTABRIA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-1,5
CANTABRIA;8. Hurtos;enero-marzo 2023;1.078
CANTABRIA;8. Hurtos;enero-marzo 2024;1.099
CANTABRIA;8. Hurtos;Variación % 2024/2023;1,9
CANTABRIA;9. Sustracciones de vehículos;enero-marzo 2023;26
CANTABRIA;9. Sustracciones de vehículos;enero-marzo 2024;53
CANTABRIA;9. Sustracciones de vehículos;Variación % 2024/2023;103,8
CANTABRIA;10. Tráfico de drogas;enero-marzo 2023;34
CANTABRIA;10. Tráfico de drogas;enero-marzo 2024;28
CANTABRIA;10. Tráfico de drogas;Variación % 2024/2023;-17,6
CANTABRIA;11. Resto de criminalidad convencional;enero-marzo 2023;2.395
CANTABRIA;11. Resto de criminalidad convencional;enero-marzo 2024;2.681
CANTABRIA;11. Resto de criminalidad convencional;Variación % 2024/2023;11,9
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;1.409
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;1.648
CANTABRIA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;17,0
CANTABRIA;12.-Estafas informáticas;enero-marzo 2023;1.291
CANTABRIA;12.-Estafas informáticas;enero-marzo 2024;1.481
CANTABRIA;12.-Estafas informáticas;Variación % 2024/2023;14,7
CANTABRIA;13.-Otros ciberdelitos;enero-marzo 2023;118
CANTABRIA;13.-Otros ciberdelitos;enero-marzo 2024;167
CANTABRIA;13.-Otros ciberdelitos;Variación % 2024/2023;41,5
CANTABRIA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;5.588
CANTABRIA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;6.185
CANTABRIA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;10,7
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;15.260
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;15.658
CASTILLA Y LEÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;2,6
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;3
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;2
CASTILLA Y LEÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-33,3
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;9
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;10
CASTILLA Y LEÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;11,1
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;189
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;222
CASTILLA Y LEÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;17,5
CASTILLA Y LEÓN;4. Secuestro;enero-marzo 2023;0
CASTILLA Y LEÓN;4. Secuestro;enero-marzo 2024;0
CASTILLA Y LEÓN;4. Secuestro;Variación % 2024/2023;0,0
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;enero-marzo 2023;124
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;enero-marzo 2024;137
CASTILLA Y LEÓN;5. Delitos contra la libertad sexual;Variación % 2024/2023;10,5
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;enero-marzo 2023;29
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;enero-marzo 2024;38
CASTILLA Y LEÓN;5.1.-Agresión sexual con penetración;Variación % 2024/2023;31,0
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;95
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;99
CASTILLA Y LEÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;4,2
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;enero-marzo 2023;185
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;enero-marzo 2024;212
CASTILLA Y LEÓN;6. Robos con violencia e intimidación;Variación % 2024/2023;14,6
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;1.115
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;1.102
CASTILLA Y LEÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-1,2
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;700
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;770
CASTILLA Y LEÓN;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;10,0
CASTILLA Y LEÓN;8. Hurtos;enero-marzo 2023;4.307
CASTILLA Y LEÓN;8. Hurtos;enero-marzo 2024;4.177
CASTILLA Y LEÓN;8. Hurtos;Variación % 2024/2023;-3,0
CASTILLA Y LEÓN;9. Sustracciones de vehículos;enero-marzo 2023;121
CASTILLA Y LEÓN;9. Sustracciones de vehículos;enero-marzo 2024;112
CASTILLA Y LEÓN;9. Sustracciones de vehículos;Variación % 2024/2023;-7,4
CASTILLA Y LEÓN;10. Tráfico de drogas;enero-marzo 2023;115
CASTILLA Y LEÓN;10. Tráfico de drogas;enero-marzo 2024;96
CASTILLA Y LEÓN;10. Tráfico de drogas;Variación % 2024/2023;-16,5
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;enero-marzo 2023;9.092
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;enero-marzo 2024;9.588
CASTILLA Y LEÓN;11. Resto de criminalidad convencional;Variación % 2024/2023;5,5
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;5.850
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;6.617
CASTILLA Y LEÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;13,1
CASTILLA Y LEÓN;12.-Estafas informáticas;enero-marzo 2023;5.165
CASTILLA Y LEÓN;12.-Estafas informáticas;enero-marzo 2024;5.842
CASTILLA Y LEÓN;12.-Estafas informáticas;Variación % 2024/2023;13,1
CASTILLA Y LEÓN;13.-Otros ciberdelitos;enero-marzo 2023;685
CASTILLA Y LEÓN;13.-Otros ciberdelitos;enero-marzo 2024;775
CASTILLA Y LEÓN;13.-Otros ciberdelitos;Variación % 2024/2023;13,1
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;21.110
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;22.275
CASTILLA Y LEÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,5
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;15.395
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;16.179
CASTILLA - LA MANCHA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;5,1
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;8
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;1
CASTILLA - LA MANCHA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-87,5
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;1
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;9
CASTILLA - LA MANCHA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;800,0
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;194
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;247
CASTILLA - LA MANCHA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;27,3
CASTILLA - LA MANCHA;4. Secuestro;enero-marzo 2023;1
CASTILLA - LA MANCHA;4. Secuestro;enero-marzo 2024;0
CASTILLA - LA MANCHA;4. Secuestro;Variación % 2024/2023;-100,0
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;enero-marzo 2023;139
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;enero-marzo 2024;139
CASTILLA - LA MANCHA;5. Delitos contra la libertad sexual;Variación % 2024/2023;0,0
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;enero-marzo 2023;29
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;enero-marzo 2024;20
CASTILLA - LA MANCHA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-31,0
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;110
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;119
CASTILLA - LA MANCHA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;8,2
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;enero-marzo 2023;206
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;enero-marzo 2024;227
CASTILLA - LA MANCHA;6. Robos con violencia e intimidación;Variación % 2024/2023;10,2
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;1.279
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;1.493
CASTILLA - LA MANCHA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;16,7
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;918
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;1.046
CASTILLA - LA MANCHA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;13,9
CASTILLA - LA MANCHA;8. Hurtos;enero-marzo 2023;3.478
CASTILLA - LA MANCHA;8. Hurtos;enero-marzo 2024;3.696
CASTILLA - LA MANCHA;8. Hurtos;Variación % 2024/2023;6,3
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;enero-marzo 2023;140
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;enero-marzo 2024;181
CASTILLA - LA MANCHA;9. Sustracciones de vehículos;Variación % 2024/2023;29,3
CASTILLA - LA MANCHA;10. Tráfico de drogas;enero-marzo 2023;133
CASTILLA - LA MANCHA;10. Tráfico de drogas;enero-marzo 2024;132
CASTILLA - LA MANCHA;10. Tráfico de drogas;Variación % 2024/2023;-0,8
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;enero-marzo 2023;9.816
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;enero-marzo 2024;10.054
CASTILLA - LA MANCHA;11. Resto de criminalidad convencional;Variación % 2024/2023;2,4
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;4.488
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;4.705
CASTILLA - LA MANCHA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;4,8
CASTILLA - LA MANCHA;12.-Estafas informáticas;enero-marzo 2023;3.939
CASTILLA - LA MANCHA;12.-Estafas informáticas;enero-marzo 2024;4.203
CASTILLA - LA MANCHA;12.-Estafas informáticas;Variación % 2024/2023;6,7
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;enero-marzo 2023;549
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;enero-marzo 2024;502
CASTILLA - LA MANCHA;13.-Otros ciberdelitos;Variación % 2024/2023;-8,6
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;19.883
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;20.884
CASTILLA - LA MANCHA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,0
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;103.450
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;106.265
CATALUÑA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;2,7
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;18
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;17
CATALUÑA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-5,6
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;55
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;54
CATALUÑA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-1,8
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;863
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;894
CATALUÑA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;3,6
CATALUÑA;4. Secuestro;enero-marzo 2023;2
CATALUÑA;4. Secuestro;enero-marzo 2024;2
CATALUÑA;4. Secuestro;Variación % 2024/2023;0,0
CATALUÑA;5. Delitos contra la libertad sexual;enero-marzo 2023;880
CATALUÑA;5. Delitos contra la libertad sexual;enero-marzo 2024;915
CATALUÑA;5. Delitos contra la libertad sexual;Variación % 2024/2023;4,0
CATALUÑA;5.1.-Agresión sexual con penetración;enero-marzo 2023;328
CATALUÑA;5.1.-Agresión sexual con penetración;enero-marzo 2024;332
CATALUÑA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;1,2
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;552
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;583
CATALUÑA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;5,6
CATALUÑA;6. Robos con violencia e intimidación;enero-marzo 2023;6.053
CATALUÑA;6. Robos con violencia e intimidación;enero-marzo 2024;5.854
CATALUÑA;6. Robos con violencia e intimidación;Variación % 2024/2023;-3,3
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;7.430
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;6.709
CATALUÑA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-9,7
CATALUÑA;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;4.946
CATALUÑA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;4.384
CATALUÑA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-11,4
CATALUÑA;8. Hurtos;enero-marzo 2023;41.947
CATALUÑA;8. Hurtos;enero-marzo 2024;39.585
CATALUÑA;8. Hurtos;Variación % 2024/2023;-5,6
CATALUÑA;9. Sustracciones de vehículos;enero-marzo 2023;2.015
CATALUÑA;9. Sustracciones de vehículos;enero-marzo 2024;1.888
CATALUÑA;9. Sustracciones de vehículos;Variación % 2024/2023;-6,3
CATALUÑA;10. Tráfico de drogas;enero-marzo 2023;1.074
CATALUÑA;10. Tráfico de drogas;enero-marzo 2024;1.194
CATALUÑA;10. Tráfico de drogas;Variación % 2024/2023;11,2
CATALUÑA;11. Resto de criminalidad convencional;enero-marzo 2023;43.113
CATALUÑA;11. Resto de criminalidad convencional;enero-marzo 2024;49.153
CATALUÑA;11. Resto de criminalidad convencional;Variación % 2024/2023;14,0
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;17.210
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;20.420
CATALUÑA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;18,7
CATALUÑA;12.-Estafas informáticas;enero-marzo 2023;16.660
CATALUÑA;12.-Estafas informáticas;enero-marzo 2024;19.856
CATALUÑA;12.-Estafas informáticas;Variación % 2024/2023;19,2
CATALUÑA;13.-Otros ciberdelitos;enero-marzo 2023;550
CATALUÑA;13.-Otros ciberdelitos;enero-marzo 2024;564
CATALUÑA;13.-Otros ciberdelitos;Variación % 2024/2023;2,5
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;120.660
CATALUÑA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;126.685
CATALUÑA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,0
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;56.551
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;58.141
COMUNITAT VALENCIANA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;2,8
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;8
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;21
COMUNITAT VALENCIANA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;162,5
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;36
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;34
COMUNITAT VALENCIANA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-5,6
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;707
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;813
COMUNITAT VALENCIANA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;15,0
COMUNITAT VALENCIANA;4. Secuestro;enero-marzo 2023;3
COMUNITAT VALENCIANA;4. Secuestro;enero-marzo 2024;3
COMUNITAT VALENCIANA;4. Secuestro;Variación % 2024/2023;0,0
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;enero-marzo 2023;492
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;enero-marzo 2024;521
COMUNITAT VALENCIANA;5. Delitos contra la libertad sexual;Variación % 2024/2023;5,9
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;enero-marzo 2023;87
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;enero-marzo 2024;121
COMUNITAT VALENCIANA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;39,1
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;405
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;400
COMUNITAT VALENCIANA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-1,2
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;enero-marzo 2023;1.468
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;enero-marzo 2024;1.508
COMUNITAT VALENCIANA;6. Robos con violencia e intimidación;Variación % 2024/2023;2,7
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;4.858
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;4.763
COMUNITAT VALENCIANA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-2,0
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;enero-marzo 2023;3.679
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;3.809
COMUNITAT VALENCIANA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;3,5
COMUNITAT VALENCIANA;8. Hurtos;enero-marzo 2023;18.216
COMUNITAT VALENCIANA;8. Hurtos;enero-marzo 2024;17.681
COMUNITAT VALENCIANA;8. Hurtos;Variación % 2024/2023;-2,9
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;enero-marzo 2023;741
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;enero-marzo 2024;805
COMUNITAT VALENCIANA;9. Sustracciones de vehículos;Variación % 2024/2023;8,6
COMUNITAT VALENCIANA;10. Tráfico de drogas;enero-marzo 2023;606
COMUNITAT VALENCIANA;10. Tráfico de drogas;enero-marzo 2024;665
COMUNITAT VALENCIANA;10. Tráfico de drogas;Variación % 2024/2023;9,7
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;enero-marzo 2023;29.416
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;enero-marzo 2024;31.327
COMUNITAT VALENCIANA;11. Resto de criminalidad convencional;Variación % 2024/2023;6,5
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;11.215
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;12.110
COMUNITAT VALENCIANA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;8,0
COMUNITAT VALENCIANA;12.-Estafas informáticas;enero-marzo 2023;9.470
COMUNITAT VALENCIANA;12.-Estafas informáticas;enero-marzo 2024;10.747
COMUNITAT VALENCIANA;12.-Estafas informáticas;Variación % 2024/2023;13,5
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;enero-marzo 2023;1.745
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;enero-marzo 2024;1.363
COMUNITAT VALENCIANA;13.-Otros ciberdelitos;Variación % 2024/2023;-21,9
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;67.766
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;70.251
COMUNITAT VALENCIANA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;3,7
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;6.444
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;6.577
EXTREMADURA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;2,1
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;0
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;2
EXTREMADURA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;100,0
