Comunidades autónomas;Tipología penal;Periodos:;Total
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;0,3
ANDALUCÍA;12.-Estafas informáticas;enero-diciembre 2023;72.795
ANDALUCÍA;12.-Estafas informáticas;enero-diciembre 2024;71.327
ANDALUCÍA;12.-Estafas informáticas;Variación % 2024/2023;-2,0
ANDALUCÍA;13.-Otros ciberdelitos;enero-diciembre 2023;8.532
ANDALUCÍA;13.-Otros ciberdelitos;enero-diciembre 2024;10.232
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2024/2023;19,9
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;413.181
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;409.698
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;-0,8
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;38.680
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;41.099
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;6,3
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;9
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;8
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-11,1
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;38
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;30
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-21,1
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;677
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;785
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;16,0
ARAGÓN;4. Secuestro;enero-diciembre 2023;2
ARAGÓN;4. Secuestro;enero-diciembre 2024;0
ARAGÓN;4. Secuestro;Variación % 2024/2023;-100,0
ARAGÓN;5. Delitos contra la libertad sexual;enero-diciembre 2023;464
ARAGÓN;5. Delitos contra la libertad sexual;enero-diciembre 2024;435
ARAGÓN;5. Delitos contra la libertad sexual;Variación % 2024/2023;-6,3
ARAGÓN;5.1.-Agresión sexual con penetración;enero-diciembre 2023;92
ARAGÓN;5.1.-Agresión sexual con penetración;enero-diciembre 2024;86
ARAGÓN;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-6,5
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;372
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;349
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-6,2
ARAGÓN;6. Robos con violencia e intimidación;enero-diciembre 2023;1.076
ARAGÓN;6. Robos con violencia e intimidación;enero-diciembre 2024;1.392
ARAGÓN;6. Robos con violencia e intimidación;Variación % 2024/2023;29,4
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;2.757
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;2.612
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-5,3
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;1.955
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;1.924
ARAGÓN;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-1,6
ARAGÓN;8. Hurtos;enero-diciembre 2023;10.651
ARAGÓN;8. Hurtos;enero-diciembre 2024;11.686
ARAGÓN;8. Hurtos;Variación % 2024/2023;9,7
ARAGÓN;9. Sustracciones de vehículos;enero-diciembre 2023;318
ARAGÓN;9. Sustracciones de vehículos;enero-diciembre 2024;282
ARAGÓN;9. Sustracciones de vehículos;Variación % 2024/2023;-11,3
ARAGÓN;10. Tráfico de drogas;enero-diciembre 2023;552
ARAGÓN;10. Tráfico de drogas;enero-diciembre 2024;494
ARAGÓN;10. Tráfico de drogas;Variación % 2024/2023;-10,5
ARAGÓN;11. Resto de criminalidad convencional;enero-diciembre 2023;22.136
ARAGÓN;11. Resto de criminalidad convencional;enero-diciembre 2024;23.375
ARAGÓN;11. Resto de criminalidad convencional;Variación % 2024/2023;5,6
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;12.185
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;12.527
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;2,8
ARAGÓN;12.-Estafas informáticas;enero-diciembre 2023;10.891
ARAGÓN;12.-Estafas informáticas;enero-diciembre 2024;11.128
ARAGÓN;12.-Estafas informáticas;Variación % 2024/2023;2,2
ARAGÓN;13.-Otros ciberdelitos;enero-diciembre 2023;1.294
ARAGÓN;13.-Otros ciberdelitos;enero-diciembre 2024;1.399
ARAGÓN;13.-Otros ciberdelitos;Variación % 2024/2023;8,1
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;50.865
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;53.626
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,4
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;25.240
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;25.155
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,3
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;6
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;7
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;16,7
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;15
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;13
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-13,3
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;442
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;445
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;0,7
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-diciembre 2023;0
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-diciembre 2024;4
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2024/2023;100,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-diciembre 2023;298
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-diciembre 2024;287
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2024/2023;-3,7
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-diciembre 2023;67
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-diciembre 2024;67
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;231
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;220
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-4,8
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-diciembre 2023;424
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-diciembre 2024;349
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2024/2023;-17,7
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;1.574
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;1.311
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-16,7
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;990
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;772
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-22,0
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-diciembre 2023;7.681
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-diciembre 2024;7.727
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2024/2023;0,6
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-diciembre 2023;259
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-diciembre 2024;205
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2024/2023;-20,8
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-diciembre 2023;190
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-diciembre 2024;174
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2024/2023;-8,4
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-diciembre 2023;14.351
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-diciembre 2024;14.633
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2024/2023;2,0
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;8.648
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;9.280
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;7,3
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-diciembre 2023;7.897
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-diciembre 2024;8.218
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2024/2023;4,1
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-diciembre 2023;751
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-diciembre 2024;1.062
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2024/2023;41,4
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;33.888
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;34.435
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;1,6
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;67.024
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;67.431
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;0,6
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;8
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;7
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-12,5
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;42
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;38
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-9,5
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;1.300
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;1.326
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;2,0
BALEARS (ILLES);4. Secuestro;enero-diciembre 2023;4
BALEARS (ILLES);4. Secuestro;enero-diciembre 2024;6
BALEARS (ILLES);4. Secuestro;Variación % 2024/2023;50,0
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-diciembre 2023;990
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-diciembre 2024;939
BALEARS (ILLES);5. Delitos contra la libertad sexual;Variación % 2024/2023;-5,2
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-diciembre 2023;156
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-diciembre 2024;164
BALEARS (ILLES);5.1.-Agresión sexual con penetración;Variación % 2024/2023;5,1
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;834
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;775
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,1
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-diciembre 2023;1.519
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-diciembre 2024;1.432
BALEARS (ILLES);6. Robos con violencia e intimidación;Variación % 2024/2023;-5,7
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;2.688
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;2.829
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;5,2
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;1.937
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;2.050
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;5,8
BALEARS (ILLES);8. Hurtos;enero-diciembre 2023;23.009
BALEARS (ILLES);8. Hurtos;enero-diciembre 2024;24.310
BALEARS (ILLES);8. Hurtos;Variación % 2024/2023;5,7
BALEARS (ILLES);9. Sustracciones de vehículos;enero-diciembre 2023;1.832
BALEARS (ILLES);9. Sustracciones de vehículos;enero-diciembre 2024;1.729
BALEARS (ILLES);9. Sustracciones de vehículos;Variación % 2024/2023;-5,6
BALEARS (ILLES);10. Tráfico de drogas;enero-diciembre 2023;776
BALEARS (ILLES);10. Tráfico de drogas;enero-diciembre 2024;760
BALEARS (ILLES);10. Tráfico de drogas;Variación % 2024/2023;-2,1
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-diciembre 2023;34.856
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-diciembre 2024;34.055
BALEARS (ILLES);11. Resto de criminalidad convencional;Variación % 2024/2023;-2,3
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;11.485
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;12.934
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;12,6
BALEARS (ILLES);12.-Estafas informáticas;enero-diciembre 2023;10.299
BALEARS (ILLES);12.-Estafas informáticas;enero-diciembre 2024;11.471
BALEARS (ILLES);12.-Estafas informáticas;Variación % 2024/2023;11,4
BALEARS (ILLES);13.-Otros ciberdelitos;enero-diciembre 2023;1.186
BALEARS (ILLES);13.-Otros ciberdelitos;enero-diciembre 2024;1.463
BALEARS (ILLES);13.-Otros ciberdelitos;Variación % 2024/2023;23,4
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;78.509
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;80.365
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;2,4
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;86.551
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;90.357
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;4,4
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;17
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;14
CANARIAS;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-17,6
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;60
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;48
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-20,0
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;1.383
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;1.391
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;0,6
CANARIAS;4. Secuestro;enero-diciembre 2023;6
CANARIAS;4. Secuestro;enero-diciembre 2024;0
CANARIAS;4. Secuestro;Variación % 2024/2023;-100,0
CANARIAS;5. Delitos contra la libertad sexual;enero-diciembre 2023;1.097
CANARIAS;5. Delitos contra la libertad sexual;enero-diciembre 2024;1.272
CANARIAS;5. Delitos contra la libertad sexual;Variación % 2024/2023;16,0
CANARIAS;5.1.-Agresión sexual con penetración;enero-diciembre 2023;220
CANARIAS;5.1.-Agresión sexual con penetración;enero-diciembre 2024;242
CANARIAS;5.1.-Agresión sexual con penetración;Variación % 2024/2023;10,0
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;877
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;1.030
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;17,4
