Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;1.992.499
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;1.990.575
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,1
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;333
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;348
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;4,5
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;1.359
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;1.343
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-1,2
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;27.087
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;29.342
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;8,3
TOTAL NACIONAL;4. Secuestro;enero-diciembre 2023;122
TOTAL NACIONAL;4. Secuestro;enero-diciembre 2024;105
TOTAL NACIONAL;4. Secuestro;Variación % 2024/2023;-13,9
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-diciembre 2023;20.021
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-diciembre 2024;21.159
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2024/2023;5,7
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-diciembre 2023;4.880
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-diciembre 2024;5.206
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2024/2023;6,7
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;15.141
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;15.953
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;5,4
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-diciembre 2023;64.711
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-diciembre 2024;63.266
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2024/2023;-2,2
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;122.863
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;114.978
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-6,4
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;84.721
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;81.040
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-4,3
TOTAL NACIONAL;8. Hurtos;enero-diciembre 2023;665.622
TOTAL NACIONAL;8. Hurtos;enero-diciembre 2024;649.076
TOTAL NACIONAL;8. Hurtos;Variación % 2024/2023;-2,5
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-diciembre 2023;32.839
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-diciembre 2024;33.061
TOTAL NACIONAL;9. Sustracciones de vehículos;Variación % 2024/2023;0,7
TOTAL NACIONAL;10. Tráfico de drogas;enero-diciembre 2023;21.033
TOTAL NACIONAL;10. Tráfico de drogas;enero-diciembre 2024;21.533
TOTAL NACIONAL;10. Tráfico de drogas;Variación % 2024/2023;2,4
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-diciembre 2023;1.036.509
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-diciembre 2024;1.056.364
TOTAL NACIONAL;11. Resto de criminalidad convencional;Variación % 2024/2023;1,9
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;472.260
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;465.838
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;-1,4
TOTAL NACIONAL;12.-Estafas informáticas;enero-diciembre 2023;427.448
TOTAL NACIONAL;12.-Estafas informáticas;enero-diciembre 2024;414.133
TOTAL NACIONAL;12.-Estafas informáticas;Variación % 2024/2023;-3,1
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-diciembre 2023;44.812
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-diciembre 2024;51.705
TOTAL NACIONAL;13.-Otros ciberdelitos;Variación % 2024/2023;15,4
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;2.464.759
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;2.456.413
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;-0,3
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;331.854
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;328.139
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-1,1
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;71
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;80
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;12,7
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;292
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;266
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-8,9
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;5.021
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;5.498
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;9,5
ANDALUCÍA;4. Secuestro;enero-diciembre 2023;34
ANDALUCÍA;4. Secuestro;enero-diciembre 2024;27
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-20,6
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-diciembre 2023;3.066
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-diciembre 2024;3.155
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;2,9
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2023;602
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2024;625
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;3,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;2.464
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;2.530
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;2,7
ANDALUCÍA;6. Robos con violencia e intimidación;enero-diciembre 2023;7.676
ANDALUCÍA;6. Robos con violencia e intimidación;enero-diciembre 2024;7.423
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;-3,3
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;20.294
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;18.231
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-10,2
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;14.101
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;12.790
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-9,3
ANDALUCÍA;8. Hurtos;enero-diciembre 2023;95.492
ANDALUCÍA;8. Hurtos;enero-diciembre 2024;92.545
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-3,1
ANDALUCÍA;9. Sustracciones de vehículos;enero-diciembre 2023;5.957
ANDALUCÍA;9. Sustracciones de vehículos;enero-diciembre 2024;6.075
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;2,0
ANDALUCÍA;10. Tráfico de drogas;enero-diciembre 2023;4.790
ANDALUCÍA;10. Tráfico de drogas;enero-diciembre 2024;4.343
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-9,3
ANDALUCÍA;11. Resto de criminalidad convencional;enero-diciembre 2023;189.161
ANDALUCÍA;11. Resto de criminalidad convencional;enero-diciembre 2024;190.496
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;0,7
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;81.327
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;81.559
