Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;6,0
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-septiembre 2023;48.226
TOTAL NACIONAL;6. Robos con violencia e intimidación;enero-septiembre 2024;47.849
TOTAL NACIONAL;6. Robos con violencia e intimidación;Variación % 2024/2023;-0,8
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;90.682
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;86.756
TOTAL NACIONAL;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-4,3
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;62.422
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;61.078
TOTAL NACIONAL;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-2,2
TOTAL NACIONAL;8. Hurtos;enero-septiembre 2023;501.367
TOTAL NACIONAL;8. Hurtos;enero-septiembre 2024;491.435
TOTAL NACIONAL;8. Hurtos;Variación % 2024/2023;-2,0
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-septiembre 2023;24.243
TOTAL NACIONAL;9. Sustracciones de vehículos;enero-septiembre 2024;24.840
TOTAL NACIONAL;9. Sustracciones de vehículos;Variación % 2024/2023;2,5
TOTAL NACIONAL;10. Tráfico de drogas;enero-septiembre 2023;15.890
TOTAL NACIONAL;10. Tráfico de drogas;enero-septiembre 2024;16.392
TOTAL NACIONAL;10. Tráfico de drogas;Variación % 2024/2023;3,2
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-septiembre 2023;776.242
TOTAL NACIONAL;11. Resto de criminalidad convencional;enero-septiembre 2024;799.987
TOTAL NACIONAL;11. Resto de criminalidad convencional;Variación % 2024/2023;3,1
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;339.038
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;347.407
TOTAL NACIONAL;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;2,5
TOTAL NACIONAL;12.-Estafas informáticas;enero-septiembre 2023;306.237
TOTAL NACIONAL;12.-Estafas informáticas;enero-septiembre 2024;309.090
TOTAL NACIONAL;12.-Estafas informáticas;Variación % 2024/2023;0,9
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-septiembre 2023;32.801
TOTAL NACIONAL;13.-Otros ciberdelitos;enero-septiembre 2024;38.317
TOTAL NACIONAL;13.-Otros ciberdelitos;Variación % 2024/2023;16,8
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;1.832.684
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;1.854.283
TOTAL NACIONAL;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;1,2
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;250.164
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;249.205
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,4
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;62
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;67
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;8,1
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;227
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;212
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-6,6
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;3.787
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;4.102
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;8,3
ANDALUCÍA;4. Secuestro;enero-septiembre 2023;28
ANDALUCÍA;4. Secuestro;enero-septiembre 2024;19
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-32,1
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2023;2.347
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2024;2.389
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;1,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2023;473
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;477
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;1.874
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;1.912
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;2,0
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2023;5.674
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2024;5.625
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;-0,9
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;15.115
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;13.910
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-8,0
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;10.433
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;9.861
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-5,5
ANDALUCÍA;8. Hurtos;enero-septiembre 2023;72.134
ANDALUCÍA;8. Hurtos;enero-septiembre 2024;70.484
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-2,3
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2023;4.443
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2024;4.556
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;2,5
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2023;3.533
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2024;3.324
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-5,9
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2023;142.814
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2024;144.517
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;1,2
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;57.731
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;60.456
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;4,7
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2023;51.538
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2024;52.910
ANDALUCÍA;12.-Estafas informáticas;Variación % 2024/2023;2,7
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2023;6.193
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2024;7.546
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2024/2023;21,8
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;307.895
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;309.661
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;0,6
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;28.510
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;30.430
ARAGÓN;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;6,7
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;7
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;7
ARAGÓN;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;31
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;22
ARAGÓN;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-29,0
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;498
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;584
ARAGÓN;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;17,3
ARAGÓN;4. Secuestro;enero-septiembre 2023;2
ARAGÓN;4. Secuestro;enero-septiembre 2024;0
ARAGÓN;4. Secuestro;Variación % 2024/2023;-100,0
ARAGÓN;5. Delitos contra la libertad sexual;enero-septiembre 2023;351
ARAGÓN;5. Delitos contra la libertad sexual;enero-septiembre 2024;339
ARAGÓN;5. Delitos contra la libertad sexual;Variación % 2024/2023;-3,4
ARAGÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2023;71
ARAGÓN;5.1.-Agresión sexual con penetración;enero-septiembre 2024;70
ARAGÓN;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-1,4
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;280
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;269
ARAGÓN;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-3,9
ARAGÓN;6. Robos con violencia e intimidación;enero-septiembre 2023;783
ARAGÓN;6. Robos con violencia e intimidación;enero-septiembre 2024;1.005
ARAGÓN;6. Robos con violencia e intimidación;Variación % 2024/2023;28,4
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;2.005
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;1.943
ARAGÓN;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-3,1
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;1.374
ARAGÓN;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.450
ARAGÓN;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;5,5
ARAGÓN;8. Hurtos;enero-septiembre 2023;7.738
ARAGÓN;8. Hurtos;enero-septiembre 2024;8.379
ARAGÓN;8. Hurtos;Variación % 2024/2023;8,3
ARAGÓN;9. Sustracciones de vehículos;enero-septiembre 2023;247
ARAGÓN;9. Sustracciones de vehículos;enero-septiembre 2024;212
ARAGÓN;9. Sustracciones de vehículos;Variación % 2024/2023;-14,2
ARAGÓN;10. Tráfico de drogas;enero-septiembre 2023;394
ARAGÓN;10. Tráfico de drogas;enero-septiembre 2024;376
ARAGÓN;10. Tráfico de drogas;Variación % 2024/2023;-4,6
ARAGÓN;11. Resto de criminalidad convencional;enero-septiembre 2023;16.454
ARAGÓN;11. Resto de criminalidad convencional;enero-septiembre 2024;17.563
ARAGÓN;11. Resto de criminalidad convencional;Variación % 2024/2023;6,7
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;8.755
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;9.129
ARAGÓN;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;4,3
ARAGÓN;12.-Estafas informáticas;enero-septiembre 2023;7.815
ARAGÓN;12.-Estafas informáticas;enero-septiembre 2024;8.162
ARAGÓN;12.-Estafas informáticas;Variación % 2024/2023;4,4
ARAGÓN;13.-Otros ciberdelitos;enero-septiembre 2023;940
ARAGÓN;13.-Otros ciberdelitos;enero-septiembre 2024;967
ARAGÓN;13.-Otros ciberdelitos;Variación % 2024/2023;2,9
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;37.265
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;39.559
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;6,2
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;18.812
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;19.072
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;1,4
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;5
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;4
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-20,0
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;13
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;13
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;329
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;337
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;2,4
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-septiembre 2023;0
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-septiembre 2024;2
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2024/2023;100,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-septiembre 2023;232
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-septiembre 2024;218
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2024/2023;-6,0
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-septiembre 2023;50
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-septiembre 2024;50
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;182
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;168
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,7
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-septiembre 2023;291
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-septiembre 2024;264
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2024/2023;-9,3
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;1.096
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;952
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-13,1
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;735
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;538
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-26,8
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-septiembre 2023;5.727
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-septiembre 2024;5.805
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2024/2023;1,4
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-septiembre 2023;195
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-septiembre 2024;161
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2024/2023;-17,4
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-septiembre 2023;150
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-septiembre 2024;131
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2024/2023;-12,7
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-septiembre 2023;10.774
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-septiembre 2024;11.185
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2024/2023;3,8
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;6.165
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;6.855
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;11,2
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-septiembre 2023;5.638
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;enero-septiembre 2024;6.102
ASTURIAS (PRINCIPADO DE);12.-Estafas informáticas;Variación % 2024/2023;8,2
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-septiembre 2023;527
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;enero-septiembre 2024;753
ASTURIAS (PRINCIPADO DE);13.-Otros ciberdelitos;Variación % 2024/2023;42,9
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;24.977
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;25.927
ASTURIAS (PRINCIPADO DE);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;3,8
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;52.073
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;53.132
BALEARS (ILLES);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;2,0
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;4
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;4
BALEARS (ILLES);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;31
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;26
BALEARS (ILLES);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-16,1
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;1.034
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;1.037
BALEARS (ILLES);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;0,3
BALEARS (ILLES);4. Secuestro;enero-septiembre 2023;3
BALEARS (ILLES);4. Secuestro;enero-septiembre 2024;4
BALEARS (ILLES);4. Secuestro;Variación % 2024/2023;33,3
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-septiembre 2023;792
BALEARS (ILLES);5. Delitos contra la libertad sexual;enero-septiembre 2024;733
BALEARS (ILLES);5. Delitos contra la libertad sexual;Variación % 2024/2023;-7,4
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-septiembre 2023;126
BALEARS (ILLES);5.1.-Agresión sexual con penetración;enero-septiembre 2024;118
BALEARS (ILLES);5.1.-Agresión sexual con penetración;Variación % 2024/2023;-6,3
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;666
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;615
BALEARS (ILLES);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,7
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-septiembre 2023;1.206
BALEARS (ILLES);6. Robos con violencia e intimidación;enero-septiembre 2024;1.130
BALEARS (ILLES);6. Robos con violencia e intimidación;Variación % 2024/2023;-6,3
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;1.980
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;2.124
BALEARS (ILLES);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;7,3
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;1.450
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;1.515
BALEARS (ILLES);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;4,5
BALEARS (ILLES);8. Hurtos;enero-septiembre 2023;18.494
BALEARS (ILLES);8. Hurtos;enero-septiembre 2024;19.577
BALEARS (ILLES);8. Hurtos;Variación % 2024/2023;5,9
BALEARS (ILLES);9. Sustracciones de vehículos;enero-septiembre 2023;1.404
BALEARS (ILLES);9. Sustracciones de vehículos;enero-septiembre 2024;1.365
BALEARS (ILLES);9. Sustracciones de vehículos;Variación % 2024/2023;-2,8
BALEARS (ILLES);10. Tráfico de drogas;enero-septiembre 2023;614
BALEARS (ILLES);10. Tráfico de drogas;enero-septiembre 2024;655
BALEARS (ILLES);10. Tráfico de drogas;Variación % 2024/2023;6,7
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-septiembre 2023;26.511
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-septiembre 2024;26.477
BALEARS (ILLES);11. Resto de criminalidad convencional;Variación % 2024/2023;-0,1
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;8.137
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2024;9.721
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;19,5
BALEARS (ILLES);12.-Estafas informáticas;enero-septiembre 2023;7.301
BALEARS (ILLES);12.-Estafas informáticas;enero-septiembre 2024;8.609
BALEARS (ILLES);12.-Estafas informáticas;Variación % 2024/2023;17,9
BALEARS (ILLES);13.-Otros ciberdelitos;enero-septiembre 2023;836
BALEARS (ILLES);13.-Otros ciberdelitos;enero-septiembre 2024;1.112
BALEARS (ILLES);13.-Otros ciberdelitos;Variación % 2024/2023;33,0
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;60.210
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-septiembre 2024;62.853
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;4,4
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;64.340
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;68.051
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;5,8
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;15
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;10
CANARIAS;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-33,3
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;38
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;36
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-5,3
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;1.040
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;1.055
CANARIAS;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;1,4
CANARIAS;4. Secuestro;enero-septiembre 2023;4
CANARIAS;4. Secuestro;enero-septiembre 2024;0
CANARIAS;4. Secuestro;Variación % 2024/2023;-100,0
CANARIAS;5. Delitos contra la libertad sexual;enero-septiembre 2023;787
CANARIAS;5. Delitos contra la libertad sexual;enero-septiembre 2024;937
CANARIAS;5. Delitos contra la libertad sexual;Variación % 2024/2023;19,1
CANARIAS;5.1.-Agresión sexual con penetración;enero-septiembre 2023;164
CANARIAS;5.1.-Agresión sexual con penetración;enero-septiembre 2024;190
CANARIAS;5.1.-Agresión sexual con penetración;Variación % 2024/2023;15,9
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;623
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;747
CANARIAS;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;19,9
CANARIAS;6. Robos con violencia e intimidación;enero-septiembre 2023;1.392
