Comunidades autónomas;Tipología penal;Periodos:;Total
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;1.493.646
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;1.506.876
TOTAL NACIONAL;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;0,9
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;271
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;269
TOTAL NACIONAL;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-0,7
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;1.054
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;1.056
TOTAL NACIONAL;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,2
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;20.493
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;22.205
TOTAL NACIONAL;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;8,4
TOTAL NACIONAL;4. Secuestro;enero-septiembre 2023;91
TOTAL NACIONAL;4. Secuestro;enero-septiembre 2024;77
TOTAL NACIONAL;4. Secuestro;Variación % 2024/2023;-15,4
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-septiembre 2023;15.087
TOTAL NACIONAL;5. Delitos contra la libertad sexual;enero-septiembre 2024;16.010
TOTAL NACIONAL;5. Delitos contra la libertad sexual;Variación % 2024/2023;6,1
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-septiembre 2023;3.700
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;enero-septiembre 2024;3.944
TOTAL NACIONAL;5.1.-Agresión sexual con penetración;Variación % 2024/2023;6,6
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;11.387
TOTAL NACIONAL;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;12.066
